Database	Source	ID	Title	Publication_type	Journal	Year_publication	doi	Geography	Higher_Geography	Year	Domain	System	System_specific	Taxon_Group	Taxon	Taxon_specific	Family	Impact	Impact_specific	Conservation_Group	Conservation_Action	Conservation_Action_specific	Tested_statistically	Response_variable	Response_Group	Predictor_variable	Predictor_Group	Statistical_method	Test_statistic	value	df	N	Direction_of_effect	P-value	Pearson's_r	Pearson_r_conversion	Notes	Assignment	Validation
Main database	WoS alert	Alert_0008	Ten-year projection of white-nose syndrome disease dynamics at the southern leading-edge of infection in North America	Research	Proceedings of the Royal Society B: Biological Sciences	2021	https://doi.org/10.1098/rspb.2021.0719	Texas	Nearctic	2015-2030	Terrestrial	Cave	NA	Bats	Mammalia: Chiroptera	Not specific	Not specific	Pathogen	White-nose syndrome	Assessment	Prioritization	prioritizing the preservation of large overwintering colonies of bats in north Texas	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Meierhofer	Meierhofer
Main database	WoS alert	Alert_0014	Cooling of bat hibernacula to mitigate white-nose syndrome	Research	Conservation Biology	2021	https://doi.org/10.1111/cobi.13803	Pennsylvania, USA	Nearctic	2009-2020	Terrestrial	Artificial ; Cave	NA	Bats	Mammalia: Chiroptera	Myotis lucifugus	Vespertilionidae	Pathogen	WNS	Restoration	Habitat creation	Manipulation of hibernacula to reduce temperature	yes	Abundance of bats	Population	Year since manipulation	Restoration	GLMM	pseudo-R^2	0,65	NA	31	Positive	0,03	0,81	converted	-	Mammola	Mammola
Main database	WoS alert	Alert_0014	Cooling of bat hibernacula to mitigate white-nose syndrome	Research	Conservation Biology	2021	https://doi.org/10.1111/cobi.13803	Pennsylvania, USA	Nearctic	2009-2020	Terrestrial	Artificial ; Cave	NA	Bats	Mammalia: Chiroptera	Eptisicus fuscus	Vespertilionidae	Pathogen	WNS	Restoration	Habitat creation	Manipulation of hibernacula to reduce temperature	yes	Abundance of bats	Population	Year since manipulation * temp	Restoration	GLMM	pseudo-R^2	0,45	NA	31	Positive	<0.001	0,67	converted	-	Mammola	Mammola
Main database	WoS alert	Alert_0014	Cooling of bat hibernacula to mitigate white-nose syndrome	Research	Conservation Biology	2021	https://doi.org/10.1111/cobi.13803	Pennsylvania, USA	Nearctic	2009-2020	Terrestrial	Artificial ; Cave	NA	Bats	Mammalia: Chiroptera	Perimyotus subflavus	Vespertilionidae	Pathogen	WNS	Restoration	Habitat creation	Manipulation of hibernacula to reduce temperature	yes	Abundance of bats	Population	Year since manipulation	Restoration	GLMM	pseudo-R^2	0,90	NA	31	Positive	0,05	0,95	converted	-	Mammola	Mammola
Main database	WoS alert	Alert_0014	Cooling of bat hibernacula to mitigate white-nose syndrome	Research	Conservation Biology	2021	https://doi.org/10.1111/cobi.13803	Pennsylvania, USA	Nearctic	2009-2020	Terrestrial	Artificial ; Cave	NA	Bats	Mammalia: Chiroptera	Myotis leibii	Vespertilionidae	Pathogen	WNS	Restoration	Habitat creation	Manipulation of hibernacula to reduce temperature	yes	Abundance of bats	Population	Year since manipulation * temp	Restoration	GLMM	pseudo-R^2	0,68	NA	31	Positive	<0.001	0,82	converted	-	Mammola	Mammola
Main database	WoS alert	Alert_0014	Bat responses to white-nose syndrome leads to a promising management strategy	Research	Conservation Biology	2021	NA	Pennsylvania, USA	Nearctic	2009-2020	Terrestrial	Artificial ; Cave	NA	Bats	Mammalia: Chiroptera	Myotis septentrionalis	Vespertilionidae	Pathogen	WNS	Restoration	Habitat creation	Manipulation of hibernacula to reduce temperature	yes	Abundance of bats	Population	Year since manipulation	Restoration	zip GLMM	pseudo-R^2	NA	NA	NA	Positive	<0.001	NA	not convertible	R^2 not available due to zero inflation	Mammola	Meierhofer
Main database	WoS alert	Alert_0015	Greater Mouse-Eared Bats (Myotis myotis) Hibernating in the Nietoperek Bat Reserve (Poland) as a Vector of Airborne Culturable Fungi	Research	Biology	2021	https://doi.org/10.3390/biology10070593	Western Poland	Palearctic	NA	Terrestrial	Cave	Nietoperek underground	Bats	Mammalia: Chiroptera	Myotis myotis	Vespertilionidae	Pathogen	Fungi	Monitoring	Monitoring	aeromycological monitoring should continue	yes	Number of fungal species	Richness	Number of bats	Monitoring	Pearson r	r	-0,11	NA	31	Negative	<0.05	-0,11	converted	-	Meierhofer	Mammola
Main database	WoS alert	Alert_0018	An Exceptionally High Bat Species Richness in a Cave Conservation Hotspot in Central Brazil	Research	Acta Chiropterologica	2021	https://doi.org/10.3161/15081109ACC2021.23.1.020	Brazil	Neotropical	2017	Terrestrial	Cave	19 caves	Bats	Mammalia: Chiroptera	Desmodus rotundus ; Phyllostomus hastatus ; Carollia perspicillata ; Glossophaga soricina ; Platyrrhinus lineatus ; Diaemus youngii ; Chrotopterus auritus ; Diphylla ecaudata ; Lionycteris spurrelli ; Phyllostomus elongatus ; Lonchorhina aurita ; Anoura caudifer ; Artibeus planirostris ; Trachops cirrhosus ; Tonatia bidens ; Lonchophylla dekeyseri ; Mimon bennettii ; Phylloderma stenops ; Vampyrum spectrum ; Macrophyllum macrophyllum ; Micronycteris minuta ; Peropteryx macrotis ; Saccopteryx leptura ; Peropteryx kappleri ; Myotis lavali ; Rhogeessa hussoni ; Molossops temminckii ; Nyctinomops laticaudatus ; Pteronotus rubiginosus ; Furipterus horrens ; Natallus macrourus	Vespertilionidae ; Phyllostomidae ; Emballonuridae ; Molossidae ; Mormoopidae ; Furipteridae ; Natalidae	Surface habitat change	Fragmentation ; Farming	Protection	Protected area	we strongly recommend the full protection of 15 caves classified as a priority for conservation	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Meierhofer	Mammola
New bat study ; main database	WoS	BAT_0001	Hibernacula Selection by Townsend's Big-Eared Bat in Southwestern Colorado	Research	Journal of Wildlife Management	2011	https://doi.org/10.1002/jwmg.6	Colorado, United States	Nearctic	1999-2007	Terrestrial	Artificial	Mines	Bats	Mammalia: Chiroptera	Corynorhinus townsendii	Vespertilionidae	None identified	NA	Monitoring	Monitoring	When feasible we believe that surveys should be conducted inside all abandoned mines ina reclamation project at least once during winter prior tomaking closure and reclamation recommendations.	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Meierhofer	Mammola
New bat study ; main database	WoS	BAT_0004	Variation in catchment areas of Indiana bat (Myotis sodalis) hibernacula inferred from stable hydrogen (delta H-2) isotope analysis	Research	Canadian Journal of Zoology	2012	https://doi.org/10.1139/Z2012-093	United States	Nearctic	2007-2009	Terrestrial	Cave	14 caves	Bats	Mammalia: Chiroptera	Myotis sodalis	Vespertilionidae	Pathogen	WNS	Assessment	Prioritization	Although conservation efforts focused on larger hibernating populations may protect a greater number of individuals, in the long term and in the context of mass mortality due to WNS, conservation and containment efforts focused on small caves with large catchment areas may be equally important because they represent sources for recolonization throughout the north–south extent of the species range.	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	-	Meierhofer	Mammola
