"","Intervention","N° studies","N° interventions testing","N° interventions tot","% testing","N° usable","N° unusable","% usable"
"1","Assessment",0,0,10,0,0,0,0
"2","Decontamination",3,27,35,77,1,26,4
"3","Education",0,0,56,0,0,0,0
"4","Eradication",0,0,2,0,0,0,0
"5","Gate",18,138,190,73,35,103,25
"6","Habitat creation",1,5,16,31,1,4,20
"7","Habitat restoration",2,23,57,40,0,23,0
"8","Legislation",0,0,25,0,0,0,0
"9","Monitoring",6,29,176,16,7,20,24
"10","Prioritization",5,33,83,40,26,7,79
"11","Protected area",1,1,88,1,0,1,0
"12","Regulate access",3,38,114,33,29,9,76
"13","Risk assessment",0,0,25,0,0,0,0
